Family,Counts,Percentages(%),Min,Max,Mean,Median,Content(%)
Asteraceae,979,15.34,1e-06,2.6,0.010120882191780842,0.0006,1e-06~2.6
Ranunculaceae,620,9.71,2e-06,0.24,0.003726559523809524,0.0004905,2e-06~0.24
Fabaceae,382,5.98,3e-06,1.5,0.014410801418439714,0.00059,3e-06~1.5
Lamiaceae,342,5.36,3e-06,0.32,0.004302277333333332,0.000273,3e-06~0.32
Apocynaceae,334,5.23,1e-06,0.255556,0.0028442525252525244,0.00024249999999999999,1e-06~0.255556
Araliaceae,263,4.12,8e-06,0.342857,0.007382966555183943,0.000758,8e-06~0.342857
Euphorbiaceae,245,3.84,4e-06,0.1025,0.001287019305019305,0.000338,4e-06~0.1025
Rubiaceae,225,3.52,5e-06,0.276667,0.010953610038610038,0.000316,5e-06~0.276667
Apiaceae,179,2.8,1.8e-05,0.588889,0.009408460317460315,0.0012,1.8e-05~0.588889
Celastraceae,162,2.54,2e-06,0.1,0.0010872559523809526,6.5e-05,2e-06~0.1
Caryophyllaceae,153,2.4,5e-06,3.744898,0.04103967796610169,0.0005,5e-06~3.744898
Caprifoliaceae,133,2.08,2e-06,0.087079,0.00614045205479452,0.000833,2e-06~0.087079
Aquifoliaceae,115,1.8,2e-05,0.094444,0.0014569831932773113,0.00016,2e-05~0.094444
Paeoniaceae,114,1.79,6e-06,0.183,0.00452697058823529,0.00028,6e-06~0.183
Sapindaceae,108,1.69,6e-05,0.225,0.004871913043478262,0.0008,6e-05~0.225
Rosaceae,107,1.68,4e-06,0.461538,0.011166911999999996,0.0005,4e-06~0.461538
Primulaceae,100,1.57,1.6e-05,0.109333,0.0034938064516129015,0.0004285,1.6e-05~0.109333
Theaceae,92,1.44,1.2e-05,0.004309,0.0005803978494623654,0.000186,1.2e-05~0.004309
Schisandraceae,80,1.25,1.2e-05,2.533589,0.031868160493827166,0.00028,1.2e-05~2.533589
Meliaceae,79,1.24,1.1e-05,0.172414,0.0035640357142857136,0.0004565,1.1e-05~0.172414
Lauraceae,77,1.21,2.9e-05,0.03941,0.004091962962962961,0.00027,2.9e-05~0.03941
Ericaceae,69,1.08,3e-06,0.010588,0.0003175696202531646,4.2e-05,3e-06~0.010588
Cucurbitaceae,66,1.03,1e-05,0.04,0.0028008955223880606,0.00076,1e-05~0.04
Lardizabalaceae,64,1.0,9e-06,0.07272,0.004636771428571427,0.000495,9e-06~0.07272
Chloranthaceae,59,0.92,1.5e-05,0.009,0.00040636923076923083,0.000174,1.5e-05~0.009
Verbenaceae,57,0.89,1.5e-05,0.013333,0.0016977076923076922,0.000411,1.5e-05~0.013333
