Specie,Counts,Percentages(%),Min,Max,Mean,Median,Contents
Panax ginseng,59,0.92,0.00014,0.189,0.006406253731343284,0.001,0.00014~0.189
Uncaria rhynchophylla,51,0.8,2e-06,0.001459,0.00016406329113924047,4.4e-05,2e-06~0.001459
Paeonia lactiflora,49,0.77,6e-06,0.064,0.003950327868852461,0.000277,6e-06~0.064
Alstonia scholaris,42,0.66,1.8e-05,0.038,0.002564377358490565,0.000309,1.8e-05~0.038
Tripterygium wilfordii,36,0.56,2e-06,0.00035,3.489743589743589e-05,1.2e-05,2e-06~0.00035
Paeonia suffruticosa,35,0.55,4.5e-05,0.003,0.0003705853658536585,0.000153,4.5e-05~0.003
Panax japonicus,34,0.53,1.1e-05,0.0026,0.0006726216216216217,0.000299,1.1e-05~0.0026
Kopsia officinalis,33,0.52,7.1e-05,0.036471,0.0034061621621621608,0.00054,7.1e-05~0.036471
Akebia trifoliata,31,0.49,0.00025,0.07272,0.008486540540540538,0.0023,0.00025~0.07272
Souliea vaginata,31,0.49,1.4e-05,0.0025,0.0006202352941176472,0.00033,1.4e-05~0.0025
Melodinus henryi,30,0.47,3e-06,0.001675,0.00014509999999999995,6.7e-05,3e-06~0.001675
Ilex asprella,29,0.45,2e-05,0.001251,0.00018879310344827589,5.2e-05,2e-05~0.001251
Kadsura coccinea,29,0.45,1.2e-05,0.002016,0.0003056551724137931,7.8e-05,1.2e-05~0.002016
Rubus ellipticus,29,0.45,6.7e-05,0.034333,0.0018935806451612905,0.000467,6.7e-05~0.034333
Aconitum hemsleyanum,28,0.44,6e-05,0.0058,0.0009171666666666669,0.0004,6e-05~0.0058
Cimicifuga foetida,28,0.44,1.3e-05,0.034,0.0014156785714285716,0.0001365,1.3e-05~0.034
Pulsatilla koreana,27,0.42,0.00035,0.105,0.009800935483870968,0.0052,0.00035~0.105
Melodinus khasianus,27,0.42,3.2e-05,0.003211,0.0006540740740740745,0.000379,3.2e-05~0.003211
Rhazya stricta,27,0.42,6.7e-05,0.003333,0.0008690370370370371,0.0005,6.7e-05~0.003333
Rhododendron micranthum,26,0.41,7e-06,0.000122,2.9807692307692308e-05,2.05e-05,7e-06~0.000122
Erythrophleum fordii,26,0.41,2e-05,0.0018,0.00047639285714285714,0.000389,2e-05~0.0018
Phyllanthus emblica,26,0.41,1e-06,0.000459,3.37037037037037e-05,1.4e-05,1e-06~0.000459
Ferula fukanensis,26,0.41,2.5e-05,0.001512,0.00025507692307692313,0.0002085,2.5e-05~0.001512
Caryocar glabrum,25,0.39,0.001681,0.086555,0.013310919999999995,0.005882,0.001681~0.086555
Ilex pubescens,25,0.39,2.8e-05,0.001222,0.00022846153846153839,0.000115,2.8e-05~0.001222
Larrea tridentata,25,0.39,6.7e-05,0.007533,0.0009652400000000001,0.00042,6.7e-05~0.007533
Inula hupehensis,25,0.39,8e-06,0.000833,0.00013588,6.5e-05,8e-06~0.000833
Aesculus pavia,25,0.39,0.000222,0.002889,0.00156884,0.001444,0.000222~0.002889
Pleurospermum kamtschaticum,25,0.39,0.0004,0.0115,0.0025539999999999994,0.00155,0.0004~0.0115
Camellia oleifera,24,0.38,3.7e-05,0.000968,0.00020204166666666664,0.0001125,3.7e-05~0.000968
Caryocar villosum,24,0.38,0.000225,0.007,0.0013707500000000002,0.000787,0.000225~0.007
Aconitum nagarum,24,0.38,6e-05,0.053,0.005024125000000002,0.00030000000000000003,6e-05~0.053
Gypsophila oldhamiana,24,0.38,2.3e-05,0.01,0.00066808,0.0001,2.3e-05~0.01
Inula helenium,24,0.38,2.7e-05,0.055333,0.0037770370370370366,0.000153,2.7e-05~0.055333
Chenopodium quinoa,24,0.38,0.000202,0.021,0.0030613333333333343,0.002,0.000202~0.021
Alstonia yunnanensis,23,0.36,1.7e-05,0.005667,0.0005114,0.000358,1.7e-05~0.005667
Caulophyllum thalictroides,23,0.36,0.000188,0.06525,0.007863428571428575,0.0012690000000000002,0.000188~0.06525
Scutellaria barbata,23,0.36,4e-05,0.000337,0.0001385217391304348,0.000118,4e-05~0.000337
Ardisia japonica,23,0.36,2e-05,0.011,0.0009982499999999998,0.0001425,2e-05~0.011
Platycodon grandiflorum,23,0.36,5e-05,0.0132,0.0008881153846153848,0.0001225,5e-05~0.0132
Carpesium abrotanoides,22,0.34,2.4e-05,0.012,0.0011571724137931034,0.00012,2.4e-05~0.012
Panax quinquefolium,22,0.34,5e-05,0.0175,0.0014629166666666668,0.0002585,5e-05~0.0175
Euphorbia fischeriana,22,0.34,2.6e-05,0.007186,0.0013004074074074072,0.000532,2.6e-05~0.007186
Glycyrrhiza uralensis,21,0.33,9e-06,0.0004,6.503703703703702e-05,3e-05,9e-06~0.0004
Dysoxylum cumingianum,21,0.33,1.1e-05,0.172414,0.01017209090909091,0.000152,1.1e-05~0.172414
Delphinium anthriscifolium,21,0.33,3.3e-05,0.00825,0.0008574285714285713,0.000375,3.3e-05~0.00825
Albizia julibrissin,21,0.33,1.8e-05,0.00163,0.00018585714285714283,8.4e-05,1.8e-05~0.00163
Clematis uncinata,21,0.33,0.00095,0.008,0.0020285714285714286,0.0017,0.00095~0.008
Elephantopus scaber,21,0.33,3e-06,0.000305,5.877272727272727e-05,2.4999999999999998e-05,3e-06~0.000305
Ilex rotunda,20,0.31,8.3e-05,0.094444,0.0060525,0.00018350000000000002,8.3e-05~0.094444
Euphorbia marginata,20,0.31,4.1e-05,0.018667,0.0013155500000000004,0.00024,4.1e-05~0.018667
Aconitum kirinense,20,0.31,2.9e-05,0.002927,0.00035020000000000006,0.000107,2.9e-05~0.002927
Aphanamixis grandifolia,20,0.31,2.1e-05,0.00135,0.00035763636363636374,0.00018199999999999998,2.1e-05~0.00135
Tinospora sinensis,20,0.31,1.8e-05,0.002667,0.0005396363636363636,0.0002365,1.8e-05~0.002667
Tripterygium regelii,19,0.3,7e-06,0.000517,0.00010747368421052631,2.5e-05,7e-06~0.000517
Combretum quadrangulare,19,0.3,0.000133,0.003178,0.0007441052631578947,0.000311,0.000133~0.003178
Impatiens siculifer,19,0.3,8e-05,0.00176,0.0004136842105263157,0.00032,8e-05~0.00176
Clematis chinensis,19,0.3,0.000114,0.24,0.013843526315789478,0.0008,0.000114~0.24
