Species
Melodinus henryi
Melodinus khasianus
Pleurospermum kamtschaticum
Euphorbia macrorrhiza
Cussonia racemosa
Pimelea elongata
Gouania longipetala
Paeoniae radix
Sinocrassula asclepiadea
Gardeniae fructus
Foetidia africana
Patrinia scabiosaefoli
Ligularia odontomanes
Stelmatocrypton khasianum
Gardenia erythroclada
Tanacetum praeteritum
Delphinium umbrosum
Neurolaena oaxacana
Eupatorium luchuense
Thalictri herba
Ladenbergia hexandra
Maytenus chuchuhuasca
Piptocoma rufescens
Isodon japonica
Aconitum sinchiangense
Thalictrum fortunei
Panacis majoris
Delphinium majus
Maytenus scutioides
Neonauclea sessilifolia
Delphinium honanense
Astragalus trigonus
Fissistigma pallens
Salacia verrucosa
Anthemis altissima
Dysoxylum beddomei
Astragalus brachypterus
Ligularia alticola
Paeonia hybrida
Delphinium trifoliolatum
Cosmos pringlei
Illigera aromatica
Cussonia vantsilana
Ilex kudincha
Aconitum orochryseum
Gymnanthemum extensum
Alangium lamarckii
Cephalaria scoparia
Hemsleya penxianensis
Cephalaria transsylvanica
Kadsura renchangiana
Alstonia rupestris
Opilia celtidifolia
Casearia kurzii
Heptaptera anatolica
Melodinus axillaris
Agrostemma gracilis
Jasonia candicans
Mimosa hostilis
Delphinium tiantaishanense
Paronychia chionaea
Magnolia fargesii
Vernonia blumeoides
Silene rubicunda
Lomelosia rotata
Psephellus pyrrhoblepharus
Glyptopetalum sclerocarpum
Chrozophora obliqua
Pittosporum verticillatum
Tetrapanax papyriferum
Delphinium scabriflorum
Vernonia fimbrillifera
Distephanus angulifolius
Ferula flabelliloba.
Strychnos vanprukii
Delphinium giraldii
Burasaia madagascarensis
Luculia pinciana
Herniaria fontanesii
Baccharis gaudichaudiana
Coleus hereroensis
Wistaria brachybotrys
Illicium merrillianum
Nauclea pobeguinii
Pseudoelephantopus spicatus
Aralia taibaiensis
Platycodon grandiflurum
Homalomena sagittifolia
Oncoba manii
Gladiolus segetum
Arenaria filicaulis
Picea glehni
Liriosma ovata
Machilus yaoshansis
Gypsophila simonii
Croton poomae
Pittosporum senacia
Ocimum grandiflorum
Euphorbia sikkimensis
Camellia bugiamapensis
Chisocheton penduliflorus
Hymenoxys robusta
Lychnophora trichocarpha
Anemonoides raddeana
Hypoestes verticillaris
Vellozia candida
Verbena littoralis
Tanacetopsis karataviensis
Croton oligandrus
Vernonia perrottetii
Clavija procera
Hordeurn vulgare
Pterocephalus pinardii
Euphorbia gaditana
Scientific name
Lantana lilacia
Limnophila indica
Entodon okamurae
Nepeta hindostana
Coleus grandidentatus
Hippocratea excelsa
Genipa spruceana
Crassocephalum bauchiense
Nepeta suavis
Ocotea suaveolens
Alysicarpus monolifer
Mollugo spergula
Cephalaria ambrosioides
Cussonia bojeri
Dulacia egleri
Allophylus laevigatus
Cylindrokelupha dalatensis
Hippocratea exclesa
Sciodaphyllum reticulatum
Strychnos trinervis
Leucas nutans
Tabernaemontana longipes
Suregada angustifolia
Taxus chinensi
Psychotria yunnanensis
