ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID
TPCN02063,Forskoditerpenosides B,'942942-66-7',C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(C)=O)C1C(C)(C)CCC(OC3OC(CO)C(O)C(O)C3O)C12C,Diterpenoids,110.0,8.0,7e-06,Whole plants,Lamiaceae,Coleus forskohlii,Chem Pharm Bull (Tokyo) 55(3): 376-381.(2007),10.1248/cpb.55.376,DP00003
TPCN02368,Aconitine,'302-27-2',CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,Diterpenoids,50.0,3.2,6e-06,Roots,Ranunculaceae,Aconitum kusnezoffii,"Molecules 16, 3345-3350 (2011).",10.3390/molecules16043345,DP00246
TPCN03133,Pierisformoside F,'308335-52-6',C=C1C2CC(O)C(C)(C)C(=O)C2CC23CC(CCC12)C(C)(OC1OC(CO)C(O)C(O)C1O)C3,Diterpenoids,30.1,2.2,7e-06,Leaves,Ericaceae,Rhododendron micranthum,"Phytochemistry 158, 1-12 (2019).",10.1016/j.phytochem.2018.10.017,DP01079
TPCN03246,Yucalexin P-23,'1384867-28-0',C=CC1(C)C(=O)C=C2C(=CCC3C2(C)CC(O)C(O)C3(C)C)C1O,Diterpenoids,49.7,4.3,9e-06,Stems,Euphorbiaceae,Manihot esculenta,"J Asian Nat Prod Res 13, 961-964 (2011).",10.1080/10286020.2011.600249,DP01201
TPCN03247,Wallichiioid A,'2054315-37-4',CC(=O)OC12C(O)C(C)C3(O)C(C(=O)C(CO)=CC4(O)C(=O)C(C)=CC43)C1C2(C)C,Diterpenoids,30.0,2.6,9e-06,Leaves,Euphorbiaceae,Croton tiglium,"Org Biomol Chem 17, 195-202 (2018).",10.1039/c8ob02519c,DP01202
TPCN03248,Tripterycoside A,'2142013-90-7',CC(C)c1cc(O)c2c(c1OC1OC(CO)C(O)C(O)C1O)CCC1C3=C(CCC21C)C(=O)OC3,Diterpenoids,119.0,10.3,9e-06,Roots,Celastraceae,Tripterygium wilfordii,"Fitoterapia 120, 126-130 (2017).",10.1016/j.fitote.2017.06.001,DP01203
TPCN03249,Rhodomicranosides D,'2305254-42-4',C=C(CO)CCCC1(C)C(=O)CCC23CC(CCC21)C(C)(OC1OC(CO)C(O)C(O)C1O)C3,Diterpenoids,30.1,2.6,9e-06,Leaves,Ericaceae,Rhododendron micranthum,"Phytochemistry 158, 1-12 (2019).",10.1016/j.phytochem.2018.10.017,DP01204
TPCN03250,Rhodomicranosides G,'2305254-45-7',CC1=C2CC(O)C(C)(C)C2C(=O)CC23CC(CC=C12)C(C)(OC1OC(CO)C(O)C(O)C1O)C3,Diterpenoids,30.1,2.7,9e-06,Leaves,Ericaceae,Rhododendron micranthum,"Phytochemistry 158, 1-12 (2019).",10.1016/j.phytochem.2018.10.017,DP01205
TPCN03251,2-O-(2-O-Isovaleryl-β-D-glucopyranosyl)atractyligenin,'68711-84-2',C=C1C2CCC3C4(C)CC(OC5OC(CO)C(O)C(O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O,Diterpenoids,110.0,10.0,9e-06,Fruits,Asteraceae,Xanthium chinense,"J Asian Nat Prod Res 21, 207-216 (2019).",10.1080/10286020.2018.1526788,DP01206
TPCN03252,Salviamine F,'874286-59-6',CC(=O)c1c(O)c2ccc3c(c2c2ocnc12)CCCC3(C)C,Diterpenoids,9.1,0.8,9e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01207
TPCN03253,Isosalviamine C,'874286-60-9',COC(=O)CCc1nc2c(o1)c1c(C)coc1c1ccc3c(C)cccc3c12,Diterpenoids,9.1,0.8,9e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01208
TPCN03254,Neocrotocascarin,'2247529-73-1',C=C1C2CC(C)(C(=O)O2)C2C(=O)OC3(C)C2C1C12OC1(CC(C)C2OC(=O)C(C)CC)C3O,Diterpenoids,14.5,1.1,8e-06,Stems,Euphorbiaceae,Croton cascarilloides,"Chem Pharm Bull (Tokyo) 64, 1492-1498 (2016).",10.1248/cpb.c16-00500,DP01209
TPCN03255,"1,15-dimethoxy-3-hydroxy-14-benzoyl-16-ketoneoline",'1355005-34-3',CCN1CC2(COC)C(O)CC(OC)C34C5CC6C(=O)C(OC)C(O)(C(CC23)C14)C5C6OC(=O)c1ccccc1,Diterpenoids,50.0,4.1,8e-06,Roots,Ranunculaceae,Aconitum kusnezoffii,"Molecules 16, 3345-3350 (2011).",10.3390/molecules16043345,DP01210
TPCN03256,"15,18-di-O-beta-d-glucopyranosyl-13(E)-ent-labda-7(8),13(14)-diene-3beta,15,18-tr iol",'1881241-04-8',CC(=CCCOC1OC(CO)C(O)C(O)C1O)CC1C(C)=CCC2C(C)(COC3OC(CO)C(O)C(O)C3O)C(O)CCC12C,Diterpenoids,50.5,4.0,8e-06,Fruits,Rosaceae,Rubus chingii,"Fitoterapia 102, 23-26 (2015).",10.1016/j.fitote.2015.01.007,DP01211
TPCN03257,Euphorikanin A,'1937279-21-4',CC1=CC2C(C)CC3C(C4C=C(C)C5(O)C(=O)OC24C15)C3(C)C,Diterpenoids,25.0,2.0,8e-06,Roots,Euphorbiaceae,Euphorbia kansui,"Org Lett 18, 2844-2847 (2016).",10.1021/acs.orglett.6b01093,DP01212
TPCN03258,Crotocascarins N,'2247529-69-5',C=C1CCC2(O)OC(=O)C(C)=C2C2C1C13OC1(CC(C)C3=O)C1OC21C,Diterpenoids,14.5,1.1,8e-06,Stems,Euphorbiaceae,Croton cascarilloides,"Chem Pharm Bull (Tokyo) 64, 1492-1498 (2016).",10.1248/cpb.c16-00500,DP01213
TPCN03259,Tricalysiamide D,'938050-32-9',CC12CCC3(O)NC(=O)CC3C1CCC13CC(CCC12)C(O)(CO)C3,Diterpenoids,17.1,1.4,8e-06,Woods,Rubiaceae,Tricalysia dubia,"J Nat Prod 70, 758-762 (2007).",10.1021/np0680681,DP01214
TPCN03260,Mollanol A,'1620967-66-9',CC1=C2CC(O)C(C)(C)C23OC2(CC3O)CC(C)(O)C3CCC12C3O,Diterpenoids,100.0,7.2,7e-06,Fruits,Ericaceae,Rhododendron molle,"Org Lett 16, 4320-4323 (2014).",10.1021/ol5020653,DP01215
TPCN03261,14β-hydroxypieroside A,'2293099-35-9',C=C1C2CCC3C(C)=CC2(CC(O)C2(O)C1CC(OC1OC(CO)C(O)C(O)C1O)C2(C)C)C3O,Diterpenoids,30.1,2.1,7e-06,Leaves,Ericaceae,Rhododendron micranthum,"J Nat Prod 81, 2673-2681 (2018).",10.1021/acs.jnatprod.8b00490,DP01216
TPCN03262,Aconicatisulfonines A,'2387714-21-6',CC12CCCC3(C=[N+](CCO)C1)C2CCC12C=C(S(=O)(=O)[O-])C(=O)C(CC1)CC23,Diterpenoids,50.0,3.4,7e-06,Roots,Ranunculaceae,Aconitum carmichaelii,"Org Lett 11, 5522-5524 (2009).",10.1021/acs.orglett.9b02479,DP01217
TPCN03263,Salviamine E,'874286-58-5',CC(=O)c1c(O)c2ccc3c(c2c2oc(C)nc12)CCCC3(C)C,Diterpenoids,9.1,0.6,7e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01218
TPCN03264,Grayanosides C,'74311-31-2',C=C1C2CCC3CC2(CC(O)C2(O)C1CC(OC1OC(CO)C(O)C(O)C1O)C2(C)C)CC3(C)O,Diterpenoids,37.0,2.4,6e-06,Leaves,Ericaceae,Pieris japonica,"Phytochemistry 171, 112234 (2020).",10.1016/j.phytochem.2019.112234,DP01219
TPCN03265,Tripterycoside C,'2143083-81-0',CC(C)c1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1O)C1(C)CCC3=C(COC3=O)C1CC2=O,Diterpenoids,119.0,6.0,5e-06,Roots,Celastraceae,Tripterygium wilfordii,"Fitoterapia 120, 126-130 (2017).",10.1016/j.fitote.2017.06.001,DP01220
TPCN03266,Salviamine C,'874286-56-3',CC(=O)c1c(O)c2ccc3c(C)cccc3c2c2oc(C)nc12,Diterpenoids,9.1,0.5,5e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01221
TPCN03267,Isosalviamine D,'874286-61-0',COC(=O)CCc1nc2c(o1)c1c(c3ccc4c(C)cccc4c32)OCC1C,Diterpenoids,9.1,0.5,5e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01222
TPCN03268,Rhodomollein XXV,'1620967-68-1',C=C1C2C3CC4C(O)C2(CC(O)C2(O)C1C(O)C(O)C2(C)C)CC4(C)O3,Diterpenoids,100.0,3.1,3e-06,Fruits,Ericaceae,Rhododendron molle,"Org Lett 16, 4320-4323 (2014).",10.1021/ol5020653,DP01223
TPCN03269,"(2β,4α,15α)-15-Hydroxy-2-[[2-O-(3-methyl-1-oxobutyl)-3-O-sulfo-β-D-glucopyranosyl]oxy]-19-norkaur-16-en-18-oic acid",'175447-20-8',C=C1C2CCC3C4(C)CC(OC5OC(CO)C(O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O,Diterpenoids,110.0,3.0,3e-06,Fruits,Asteraceae,Xanthium chinense,"J Asian Nat Prod Res 21, 207-216 (2019).",10.1080/10286020.2018.1526788,DP01224
TPCN03270,Triptotin K,'2305273-62-3',CC(C)C1=CC2(O)OOC3CC(=O)C(C)C4CCC(=C2C34C)C1=O,Diterpenoids,100.0,3.0,3e-06,Roots,Celastraceae,Tripterygium wilfordii,"Nat Prod Res, 1-7 (2019).",10.1080/14786419.2019.1610749,DP01225
TPCN03271,Isosalviamine E,'874204-40-7',CC(=O)c1c(O)c2ccc3c(C)cccc3c2c2ncoc12,Diterpenoids,9.1,0.3,3e-06,Roots,Lamiaceae,Salvia yunnanensis,"J Nat Prod 69, 93-96 (2006).",10.1021/np050368f,DP01227
TPCN03272,Aconicatisulfonines B,'2387714-23-8',CC12CCCC3(C=[N+](CCO)C1)C2CCC12CCC(CC31)C(S(=O)(=O)[O-])=CC2O,Diterpenoids,50.0,1.1,2e-06,Roots,Ranunculaceae,Aconitum carmichaelii,"Org Lett 11, 5522-5524 (2009).",10.1021/acs.orglett.9b02479,DP01228
TPCN03358,Aconicarmisulfonine C,'2640572-11-6',CCN1CC2(C)CCC(O)C34C1C(CC23)C12CC(C(=O)CC14)C(S(=O)(=O)O)CC2=O,Diterpenoids,50.0,2.0,4e-06,Roots,Ranunculaceae,Aconitum carmichaelii,,10.1016/j.apsb.2020.01.013,DP01317
TPCN03406,Cephafortunoid A,'2711759-14-5',Cc1cc(=O)c(C)c2c3c1CC1C4CC(C)C(CC2)(C(=O)O4)C31O,Diterpenoids,40.0,3.5,9e-06,Aerial parts,Taxaceae,Cephalotaxus fortunei,"Bioorganic Chemistry 103,  (2020).",10.1016/j.bioorg.2020.104226,DP01365
TPCN03407,Cephafortunoid B,'2711759-53-2',Cc1c2c3c(cc(=O)c1C)CCC14C(=O)OC(CC1C)C(C2)C34O,Diterpenoids,40.0,3.0,8e-06,Aerial parts,Taxaceae,Cephalotaxus fortunei,,10.1016/j.bioorg.2020.104226,DP01366
TPCN03440,Daphgenkin F,'2593439-79-1',C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C(C)C,Diterpenoids,15.0,1.3,9e-06,Flowers,Thymelaeaceae,Daphne genkwa,,10.1021/acs.jnatprod.0c00003,DP01399
TPCN03479,Eupneria L,'2575765-85-2',C=CC1(C)C=C2CCC3C(=C)C(O)CCC3(C)C2CC1O,Diterpenoids,25.0,2.0,8e-06,Barks,Euphorbiaceae,Euphorbia neriifolia,,10.1016/j.phytochem.2020.112373,DP01438
TPCN03480,Eupneria M,'2575765-86-3',C=CC1(C)C=C2CCC3C(C)(O)C(O)CCC3(C)C2CC1O,Diterpenoids,25.0,1.0,4e-06,Barks,Euphorbiaceae,Euphorbia neriifolia,,10.1016/j.phytochem.2020.112373,DP01439
TPCN03483,Eupneria K,'2575766-08-2',C=CC1(C)C=C2CCC3C(C)C(O)CCC3(C)C2CC1O,Diterpenoids,25.0,1.8,7e-06,Barks,Euphorbiaceae,Euphorbia neriifolia,,10.1016/j.phytochem.2020.112373,DP01442
TPCN03484,Eupneria O,'2575766-09-3',C=CC1(C)C=C2CCC3C(C)(CO)C(OC(C)=O)CCC3(C)C2CC1O,Diterpenoids,25.0,1.0,4e-06,Barks,Euphorbiaceae,Euphorbia neriifolia,,10.1016/j.phytochem.2020.112373,DP01443
