ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN02029,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(O)C(OC(C)=O)C1C(C)(C)CCC(OC3OC(CO)C(O)C(O)C3O)C12C,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(O)C(OC(C)=O)C1C(C)(C)CCC(O)C12C,true,['O1[CH][CH][CH][CH][CH]1']
TPCN02063,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(C)=O)C1C(C)(C)CCC(OC3OC(CO)C(O)C(O)C3O)C12C,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(C)=O)C1C(C)(C)CCC(O)C12C,true,['O1[CH][CH][CH][CH][CH]1']
TPCN02186,CC=C(C)C(=O)OC1C2C(OC(=O)CC(C)C)C(C)CC2(O)C(=O)C(C)(OC(C)=O)C2C3C(CC(OC(C)=O)C12COC(=O)c1cccnc1)C3(C)C,CC=C(C)C(=O)OC1C2C(OC(=O)CC(C)C)C(C)CC2(O)C(=O)C(C)(OC(C)=O)C2C3C(CC(OC(C)=O)C12COC(=O)c1cccnc1)C3(C)C,false,[]
TPCN02187,CC1CCC2(C)C(C(=O)O)=CC(OC(=O)c3ccccc3)CC2C1(C)CCc1ccoc1,CC1CCC2(C)C(C(=O)O)=CC(OC(=O)c3ccccc3)CC2C1(C)CCc1ccoc1,false,[]
TPCN02188,CC1=C(CCc2ccoc2)C2(C)CCC(=O)C3(C)C(=O)OC(C1=O)C23,CC1=C(CCc2ccoc2)C2(C)CCC(=O)C3(C)C(=O)OC(C1=O)C23,false,[]
TPCN02189,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,false,[]
TPCN02190,CC1C(=O)CC2=C(C=CC=CC13CC(O)c1ccoc1C3O)C(=O)OC2,CC1C(=O)CC2=C(C=CC=CC13CC(O)c1ccoc1C3O)C(=O)OC2,false,[]
TPCN02191,C=C(C)C1CCC(=C)C2C3=C(CC(C)C3=O)C(=O)C(C)=CC12,C=C(C)C1CCC(=C)C2C3=C(CC(C)C3=O)C(=O)C(C)=CC12,false,[]
TPCN02192,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)[O-])C1Cc1c2[nH]c3ccccc3c2cc[n+]1C,C=CC1C(O)OC=C(C(=O)[O-])C1Cc1c2[nH]c3ccccc3c2cc[n+]1C,true,['O1[CH][CH][CH][CH][CH]1']
TPCN02193,CC1C(=O)C2OC(=O)C3(C)C(O)CCC(C)(C23)C1(O)CCc1ccoc1,CC1C(=O)C2OC(=O)C3(C)C(O)CCC(C)(C23)C1(O)CCc1ccoc1,false,[]
TPCN02194,CC1=C2C(CC3=C(CCC4C(C)(COC5OC(CO)C(O)C(O)C5O)CCCC34C)C2O)OC1=O,CC1=C2C(CC3=C(CCC4C(C)(CO)CCCC34C)C2O)OC1=O,true,['O1[CH][CH][CH][CH][CH]1']
TPCN02195,C=C1C2CCC3C4(C)CC(OC5OC(CO)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O,C=C1C2CCC3C4(C)CC(O)CC(C(=O)O)C4CCC3(C2)C1O.CC(C)CC(=O)O.O=S(=O)(O)O.O=S(=O)(O)O,true,['O1[CH][CH][CH][CH][CH]1']
