row,columns,similarity,row_content,columns_content,fold
TPCN05893,TPCN05890,0.9727582292849036,1.5,9e-06,166666.66666666666
TPCN03536,TPCN03222,0.967391304347826,2.522321,1.8e-05,140128.94444444444
TPCN05893,TPCN05889,0.9827981651376146,1.5,1.1e-05,136363.63636363635
TPCN05893,TPCN05888,0.9727582292849036,1.5,1.1e-05,136363.63636363635
TPCN05891,TPCN04770,0.968041237113402,3.744898,3.3e-05,113481.75757575757
TPCN05655,TPCN04785,0.9543973941368078,2.6,2.3e-05,113043.47826086957
TPCN05893,TPCN05885,0.9789964994165694,1.5,1.4e-05,107142.85714285714
TPCN05893,TPCN05886,0.9727582292849036,1.5,1.4e-05,107142.85714285714
TPCN05892,TPCN04770,0.9957582184517496,3.146939,3.3e-05,95361.78787878787
TPCN05655,TPCN04768,0.9608269858541894,2.6,3.3e-05,78787.87878787878
TPCN05891,TPCN04754,0.9577319587628866,3.744898,5e-05,74897.95999999999
TPCN05891,TPCN04752,0.968041237113402,3.744898,5.3e-05,70658.45283018867
TPCN06312,TPCN05892,0.9735449735449736,4.5e-05,3.146939,69931.97777777778
TPCN05893,TPCN05875,0.9727582292849036,1.5,2.3e-05,65217.391304347824
TPCN05892,TPCN04754,0.985153764581124,3.146939,5e-05,62938.78
TPCN05892,TPCN04752,0.9957582184517496,3.146939,5.3e-05,59376.20754716981
TPCN05891,TPCN04739,0.9721649484536082,3.744898,6.7e-05,55894.0
TPCN05892,TPCN05857,0.9650565262076052,3.146939,6e-05,52448.98333333334
TPCN05893,TPCN05873,0.9827981651376146,1.5,2.9e-05,51724.137931034486
TPCN05655,TPCN05636,0.9542066027689032,2.6,5.1e-05,50980.39215686275
TPCN05655,TPCN05635,0.9866369710467706,2.6,5.2e-05,50000.00000000001
TPCN05892,TPCN04739,1.0,3.146939,6.7e-05,46969.23880597015
TPCN05891,TPCN04720,0.9721649484536082,3.744898,8.3e-05,45119.2530120482
TPCN05891,TPCN04721,1.0,3.744898,8.3e-05,45119.2530120482
TPCN05655,TPCN05625,0.9792349726775956,2.6,6.6e-05,39393.93939393939
TPCN05892,TPCN05848,0.9650565262076052,3.146939,8e-05,39336.737499999996
TPCN05892,TPCN04720,1.0,3.146939,8.3e-05,37914.927710843374
TPCN05892,TPCN04721,0.9721649484536082,3.146939,8.3e-05,37914.927710843374
TPCN00812,TPCN00015,0.9809038828771484,4e-06,0.15,37500.0
TPCN05239,TPCN04523,0.9803921568627452,8e-06,0.297586,37198.25000000001
TPCN05238,TPCN04523,0.9888751545117428,8e-06,0.297586,37198.25000000001
TPCN05237,TPCN04523,0.9913258983890956,8e-06,0.297586,37198.25000000001
TPCN05240,TPCN04523,0.9888751545117428,8e-06,0.297586,37198.25000000001
TPCN05241,TPCN04523,0.9888751545117428,8e-06,0.297586,37198.25000000001
TPCN05892,TPCN04073,0.953340402969247,3.146939,9e-05,34965.98888888889
TPCN05240,TPCN04514,0.9888751545117428,8e-06,0.276552,34569.00000000001
TPCN05237,TPCN04514,0.9913258983890956,8e-06,0.276552,34569.00000000001
TPCN05238,TPCN04514,0.9888751545117428,8e-06,0.276552,34569.00000000001
TPCN05239,TPCN04514,0.9803921568627452,8e-06,0.276552,34569.00000000001
TPCN05241,TPCN04514,0.9888751545117428,8e-06,0.276552,34569.00000000001
TPCN05236,TPCN04523,0.9768009768009768,9e-06,0.297586,33065.11111111111
TPCN05235,TPCN04523,0.9714640198511166,9e-06,0.297586,33065.11111111111
TPCN05655,TPCN05613,0.972707423580786,2.6,8.1e-05,32098.765432098764
TPCN05655,TPCN05611,0.9866369710467706,2.6,8.2e-05,31707.317073170732
TPCN05235,TPCN04514,0.9714640198511166,9e-06,0.276552,30728.0
TPCN05236,TPCN04514,0.9768009768009768,9e-06,0.276552,30728.0
TPCN05655,TPCN04718,0.96570796460177,2.6,8.5e-05,30588.235294117647
TPCN05893,TPCN04123,0.9556818181818182,1.5,5e-05,30000.0
TPCN05657,TPCN04170,0.9800995024875622,0.479705,1.6e-05,29981.5625
TPCN05655,TPCN04710,0.9502212389380532,2.6,9e-05,28888.888888888887
TPCN06254,TPCN05892,0.9724284199363732,0.00011,3.146939,28608.536363636365
TPCN05655,TPCN05596,0.9866369710467706,2.6,9.5e-05,27368.42105263158
TPCN05234,TPCN04523,0.9803921568627452,1.1e-05,0.297586,27053.272727272728
TPCN06246,TPCN05892,0.9724284199363732,0.00012,3.146939,26224.49166666667
TPCN05655,TPCN04702,0.975609756097561,2.6,0.0001,26000.0
TPCN05234,TPCN04514,0.9803921568627452,1.1e-05,0.276552,25141.09090909091
TPCN05654,TPCN03851,0.953105196451204,9e-06,0.225,25000.0
TPCN05891,TPCN04004,0.992835209825998,3.744898,0.000163,22974.83435582822
TPCN05891,TPCN04003,0.9702564102564104,3.744898,0.000167,22424.53892215569
TPCN05891,TPCN05167,1.0,3.744898,0.00018,20804.98888888889
TPCN05892,TPCN04004,0.9651995905834186,3.146939,0.000163,19306.374233128834
TPCN05892,TPCN04003,0.9915878023133544,3.146939,0.000167,18843.94610778443
TPCN05891,TPCN04601,0.9696969696969696,3.744898,0.0002,18724.489999999998
TPCN05892,TPCN05167,0.9721649484536082,3.146939,0.00018,17482.994444444445
TPCN05655,TPCN05561,0.9756367663344409,2.6,0.00015,17333.333333333336
TPCN05898,TPCN05890,0.9727582292849036,0.15,9e-06,16666.666666666664
TPCN04805,TPCN04518,0.9627959413754228,5e-06,0.083333,16666.6
TPCN05650,TPCN04175,0.969661610268378,1.5e-05,0.24,15999.999999999998
TPCN05900,TPCN05890,0.9727582292849036,0.14,9e-06,15555.555555555557
TPCN04181,TPCN04138,0.9533255542590432,0.588889,3.9e-05,15099.71794871795
TPCN05237,TPCN04422,0.976997578692494,8e-06,0.12,15000.0
TPCN05240,TPCN04422,0.9746376811594204,8e-06,0.12,15000.0
TPCN05239,TPCN04422,0.9878934624697336,8e-06,0.12,15000.0
TPCN05238,TPCN04422,0.9794188861985472,8e-06,0.12,15000.0
TPCN05241,TPCN04422,0.9746376811594204,8e-06,0.12,15000.0
TPCN05229,TPCN04523,0.9673518742442564,2e-05,0.297586,14879.3
TPCN05655,TPCN04613,0.9521158129175946,2.6,0.000188,13829.787234042555
TPCN05229,TPCN04514,0.9673518742442564,2e-05,0.276552,13827.6
TPCN05898,TPCN05888,0.9727582292849036,0.15,1.1e-05,13636.363636363636
TPCN05898,TPCN05889,0.9827981651376146,0.15,1.1e-05,13636.363636363636
TPCN05235,TPCN04422,0.9528415961305924,9e-06,0.12,13333.333333333332
TPCN05236,TPCN04422,0.9843184559710496,9e-06,0.12,13333.333333333332
TPCN05900,TPCN05888,0.9727582292849036,0.14,1.1e-05,12727.272727272728
TPCN05900,TPCN05889,0.9827981651376146,0.14,1.1e-05,12727.272727272728
TPCN05891,TPCN04546,0.9737903225806452,3.744898,0.0003,12482.993333333334
TPCN05891,TPCN05522,0.9642126789366052,3.744898,0.000313,11964.5303514377
TPCN05891,TPCN05521,0.9642126789366052,3.744898,0.000313,11964.5303514377
TPCN05893,TPCN04032,0.9850574712643678,1.5,0.000128,11718.75
TPCN04812,TPCN04151,0.9588100686498856,0.32,2.8e-05,11428.57142857143
TPCN05646,TPCN03851,0.953105196451204,2e-05,0.225,11250.0
TPCN05892,TPCN04554,0.9730569948186528,3.146939,0.00028,11239.067857142858
TPCN05234,TPCN04422,0.9878934624697336,1.1e-05,0.12,10909.090909090908
TPCN05898,TPCN05885,0.9789964994165694,0.15,1.4e-05,10714.285714285714
TPCN05898,TPCN05886,0.9727582292849036,0.15,1.4e-05,10714.285714285714
TPCN05891,TPCN05509,0.992835209825998,3.744898,0.00035,10699.708571428571
TPCN05655,TPCN03953,0.9502212389380532,2.6,0.000249,10441.767068273093
TPCN05249,TPCN05238,0.9888751545117428,0.083333,8e-06,10416.625000000002
TPCN05249,TPCN05241,0.9888751545117428,0.083333,8e-06,10416.625000000002
TPCN05249,TPCN05237,0.9913258983890956,0.083333,8e-06,10416.625000000002
TPCN05249,TPCN05240,0.9888751545117428,0.083333,8e-06,10416.625000000002
TPCN05249,TPCN05239,0.9803921568627452,0.083333,8e-06,10416.625000000002
TPCN05655,TPCN05145,0.98787210584344,2.6,0.00025,10400.0
TPCN05892,TPCN05522,0.9915878023133544,3.146939,0.000313,10054.11821086262
TPCN05892,TPCN05521,0.9915878023133544,3.146939,0.000313,10054.11821086262
TPCN05900,TPCN05885,0.9789964994165694,0.14,1.4e-05,10000.000000000002
TPCN05900,TPCN05886,0.9727582292849036,0.14,1.4e-05,10000.000000000002
TPCN05890,TPCN03802,0.9718785151856018,9e-06,0.09,10000.0
TPCN05835,TPCN03070,1.0,0.00012,1.162791,9689.925
TPCN05249,TPCN05235,0.9714640198511166,0.083333,9e-06,9259.222222222223
TPCN05249,TPCN05236,0.9768009768009768,0.083333,9e-06,9259.222222222223
